	Name	Twitter_Tweets	Twitter_Following	Twitter_Followers	Twitter_Likes	Facebook_Likes	Facebook_Followers	Telegram_Members	Google_Search_Results
0.0	Blocksquare	16000	5898	13600	357	578	594	8 123	17300
0.0	Save Environment Token	53	160	25100	6	22339	22371	51 688	326000
0.0	Coin Loan	203	23	1227	171			2 352	1290
0.0	BeefCoin	115	93	246	20	2557	2591	127	1
0.0	EVEN	94	18	169	1	6437	6463	5 112	3910
0.0	BREM	24	220	2856	127				5
0.0	Popultrade	173	479	467	267	468	489	859	1160
0.0	Capdax	62	27	6743	29	49312	49438	3 215	47000
0.0	Follex	57	29	6608	190			6 575	
0.0	LanceChain	57	146	1527	57	27977	28017	3 149	63900
0.0	Altumea	39	66	525	12	5038	5122		2350
0.0	CryptonsGame	97	100	4040	5	3638	3777	17 138	39100
0.0	INDICOIN	773	61	21800	738	14857	14987	1 639	5340000
0.0	ABR	20	585	251	1	14	17		30500
0.0	Injii	7140	9237	11200	1851	4207	4199	762	1620
0.0	Fiinu	72	15	5044	40			41	58700
0.0	BananaCoin	414	597	1913	246	1357	1445	1 917	9
0.0	Etheera	144	1038	830	31	10539	10569	6 932	5660000
0.0	ITOB	33	1	68		105	107	134	113000
0.0	SINTEZ					566	611	323	6
0.0	BCDiploma	470	16	2227	268	64	74	1 154	68100
0.0	Electrify.Asia	452	573	6103	508	9616	9717	8 679	147000
0.0	Bob`s Repair	628	2138	50000	1999	45807	47749	54 012	573
0.0	CryoGen	83	135	2268	50	2556	2659	1 920	9
0.0	Rate Date	96	4233	742	147	202	210	380	35900
0.0	Blocksale					117	126		1930
0.0	Payfair	139	54	2286	47	613	649	3 293	175000
0.0	Synthestech	207	55	3620	1712	20872	21106	3 627	68600
0.0	Noxbox	167	33	3348	61	1988	2190	5 124	72900
0.0	ySign	78	1592	1074	170	370	386	662	13100000
0.0	LivingOffset	912	2424	4210	1261	3836	4035	11 126	2340
0.0	Fidcom	102		594	1	389	407	142	326000
0.0	Peculium	1264	10100	16000	348	2370	2486		143000
0.0	ECOMCASH							2 983	105000
0.0	Fire Lotto	137	9	2830	55	2444	2660	6 704	141
0.0	Enlte	15	19	821	8	4876	4950	30 409	94400
0.0	Root Blockchain	117	61	23500	83	19465	19892	12 362	356000
0.0	WeGold	186	82	20300	18	2915	2947	22 955	75200
0.0	XMoneta	420	59	6241	415	27597	27643	17 733	69800
0.0	Deepwater	36	1	760		9771	9793	713	86600
0.0	SmartO	288	27	3978	76	3434	3661	8 877	3590000
0.0	SPINDLE	84	15	24000	13	21880	25011	28 395	148000
0.0	Tokia	62	33	1701	33	21954	22330	7 952	133
0.0	DomusCoins	63	100	711	70	10417	10466	2 264	137000
0.0	AlibabaCoin	149	103	6411	112	11375	11486		298000
0.0	HostCoin	358	138	1764	467			545	
0.0	LoanBit	80	4	11500	28			9 920	5900
0.0	Aamicoin	29	36	21	29	33	34	14	403000
0.0	GN Compass	197	352	777	56	6439	6462	2 922	5
0.0	Bronix					9872	9887	1 555	97600
0.0	Hedge Coin Capital	73	233	223	143	574	583	425	445000
0.0	XSEARCH	47	32	3359		1405	1445	4 864	2410000
0.0	bitpoker	76	272	1450	31			78	518
0.0	Betstreak	105	94	1811	76	801	949	248	38400
0.0	Luckbox	1		5		7157	17750	18 042	336
0.0	OLXA	5659	8183	8601	10600	3053	3162	4 983	248000
0.0	QWIQQ	1	7	29		10022	9773	678	2240
0.0	Countinghouse	334	572	1205	26	2487	2521	3 818	93100
0.0	Consentium	95	30	9592	13	19144	19532	17 777	142000
0.0	REALT	37	350	296	176	68	74	131	102
0.0	Uservice	189	45	705	22	2614	2816	1 355	
0.0	Kelta	4582	229	23900	337	17434	17996	48 997	362000
0.0	Wixlar	269	1639	1570	404	373	387	9 038	46000
0.0	Adshares	182	583	2261	20	222	274	1 143	182000
0.0	Solomon Exchange	429	1337	3394	32			1 422	6540
0.0	TerraMiner	421	2	1153		77993	78825		82800
0.0	Crypto Fund	2	1	31		47	55	33	35700
0.0	Hope token	28	9	109	1	4838	4841	6	711000
0.0	Tribetoken	17	2	955					157000
0.0	Scrinium	229	105	1577	61	7000	7095	1 027	4500
0.0	Go Help Fund	97		642	35	845	873	920	774000
0.0	FAIMA					608	689	1 781	4
0.0	Blok	268	26	29000	451	2698	3075	3 900	3620000
0.0	Autoria	328	369	734	74			54	10 results
0.0	300cubits	334	1291	26200	38	18382	20880	23 211	5
0.0	Utrum	315	105	5250	359	4094	4187	9 787	1070
0.0	ModoView								472
0.0	Frasindo	541	55	2661	38	1828	1927	2 855	57400
0.0	VOTES	35		224		5198	5209	8	479
0.0	Okolofutbola	3	51	30		1872	1845	65	849
0.0	BitIndia								74200
0.0	BIG Token	202	601	590	178	822	851	690	12800000
0.0	DPLAY	95	330	334	96	1187	1192	119	2600000
0.0	SandCoin	146	16	1028	6			389	314000
0.0	MindLink	28	9	604	1	1010	1033	827	3280
0.0	SilverBit	133	2871	571	1	52	58	119	370
0.0	NetworkUnits	86	18	432	14	546	583	776	516000
0.0	DRIVR Network							1 225	433000
0.0	Bcharity	118	8	10600	253	10110	10831	12 101	321000
0.0	GoldMineCoin	9	7	21	8			263	521000
0.0	Vice Industry Token	3110	4556	11800	3833	8512	8809	9 654	250000
0.0	ICO HeadStart	111	834	1286		3259	3468	62 942	225000
0.0	CrowdDrive		27	534	2			50	175000
0.0	Sosnovkino								127000
0.0	FreelancerCoin	183	214	2317	56	5313	5360	99	4310
0.0	Graz	3		1029		119	124	140	88100
0.0	Startions	15	4	751	1	1103	1149	1 354	5580000
0.0	Qompass	173	23	24600	16	12642	14784	44 350	35500
0.0	Amorito	9	4561	4221		526	533	35	4 results
0.0	Cardium	67		3008	3	3737	3759	2 163	65
0.0	Goldea	69	18	289	16			130	515
0.0	Vestopia	163	409	1556	6				1560
0.0	Bloomzed	35	1	841		1342	1402	77	1
0.0	Dynatiq	24		2026	8	15178	15173	795	385000
0.0	Zeus							772	976
0.0	Salt coin	22		710					336000
0.0	MOKENEX	116	62	1140	19	161	168	80	2020
0.0	MilkCoin	35	17	624	3	1044	1126	439	534000
0.0	Landcoin	2	5	20					98000
0.0	Pitch Apply	200	4685	6647	360			1 927	354000
0.0	Adsily	9	6	278	14	151	154	3 552	1920000
0.0	Bithium	61	97	173	8	290	305	874	376000
0.0	CoinSpark	89	45	1289	219	3651	3667		13900
0.0	Petro	1	4	3978		1660	1890	310	17900
0.0	Sintec	24		121		198	211	1 155	249
0.0	LOOPX	1		6				147	241000
0.0	Denaro	44		3437	42	2893	3057	635	494
0.0	IAGON	3963	776	4567	4849	33226	33418	29 015	4340
0.0	Ubex	352	92	49900	449			99 997	95200
0.0	FTEC	233	91	30400	15	27197	28699	39 606	53700
0.0	Profede	279	14	37700	206	19415	19517	42 779	
0.0	Alt.Estate	325	293	6640	6	5357	5563	76 608	21900
0.0	SKYFchain	165		4706	5	3948	4142	7 808	105000
0.0	Streamity	211	154	6623	83	11323	11601	5 663	298000
0.0	FIC Network	240	636	2464	2989	369	407	7 335	668
0.0	Crowd Machine	642	1113	5533	704	2405	2603	5 765	381000
0.0	MyCreditChain	111		357	9	10642	11024	21 964	46400
0.0	Loyakk	415	446	24500	74	3183	3185	89 618	118000
0.0	Kasko2go	246	59	17400	13	16126	17274	23 223	3
0.0	Luckchemy	126	1215	15000	153	6875	7190	24 882	35200
0.0	Whyral	79	38	1424	10	13268	13260	18 023	13100000
0.0	Phoneum	160	8188	13700	116	23556	24226	11 742	650000
0.0	TraXion	323	35	16100	87	16284	16799	39 109	108000
0.0	Deedcoin					485	517	4 626	76100
0.0	TV-TWO	496	10	3935	118	5155	5360	10 964	3370
0.0	Viva Network	345	431	16600	1499	15087	15679	106	454000
